filename	word
ADI2TJDFT.txt	Órgão
ADI2TJDFT.txt	:
ADI2TJDFT.txt	Conselho
ADI2TJDFT.txt	Especial
ADI2TJDFT.txt	Classe
ADI2TJDFT.txt	:
ADI2TJDFT.txt	ADI
ADI2TJDFT.txt	Ação
ADI2TJDFT.txt	Direta
ADI2TJDFT.txt	de
ADI2TJDFT.txt	Inconstitucionalidade
ADI2TJDFT.txt	N.
ADI2TJDFT.txt	Processo
ADI2TJDFT.txt	:
ADI2TJDFT.txt	2010002019357-4
ADI2TJDFT.txt	Requerente(s)
ADI2TJDFT.txt	:
ADI2TJDFT.txt	PROCURADORA-GERAL
ADI2TJDFT.txt	DE
ADI2TJDFT.txt	JUSTIÇA
ADI2TJDFT.txt	DO
ADI2TJDFT.txt	DISTRITO
ADI2TJDFT.txt	FEDERAL
ADI2TJDFT.txt	E
ADI2TJDFT.txt	TERRITÓRIOS
ADI2TJDFT.txt	Requerido(s)
ADI2TJDFT.txt	:
ADI2TJDFT.txt	PRESIDENTE
ADI2TJDFT.txt	DA
ADI2TJDFT.txt	CÂMARA
ADI2TJDFT.txt	LEGISLATIVA
ADI2TJDFT.txt	DO
ADI2TJDFT.txt	DISTRITO
ADI2TJDFT.txt	FEDERAL
ADI2TJDFT.txt	E
ADI2TJDFT.txt	OUTRO(S)
ADI2TJDFT.txt	Relator
ADI2TJDFT.txt	:
ADI2TJDFT.txt	Desembargador
ADI2TJDFT.txt	LÉCIO
ADI2TJDFT.txt	RESENDE
ADI2TJDFT.txt	EMENTA
ADI2TJDFT.txt	AÇÃO
ADI2TJDFT.txt	DIRETA
ADI2TJDFT.txt	DE
ADI2TJDFT.txt	INCONSTITUCIONALIDADE.
ADI2TJDFT.txt	LEIS
ADI2TJDFT.txt	DISTRITAIS
ADI2TJDFT.txt	N.º
ADI2TJDFT.txt	747/1994
ADI2TJDFT.txt	E
ADI2TJDFT.txt	2018/1998.
ADI2TJDFT.txt	LEI
ADI2TJDFT.txt	COMPLEMENTAR
ADI2TJDFT.txt	DISTRITAL
ADI2TJDFT.txt	N.º
ADI2TJDFT.txt	380/2001.
ADI2TJDFT.txt	INCONSTITUCIONALIDADE
ADI2TJDFT.txt	FORMAL.
ADI2TJDFT.txt	LEI
ADI2TJDFT.txt	ORGÂNICA
ADI2TJDFT.txt	DO
ADI2TJDFT.txt	DISTRITO
ADI2TJDFT.txt	FEDERAL.
ADI2TJDFT.txt	OCUPAÇÃO
ADI2TJDFT.txt	DE
ADI2TJDFT.txt	ÁREA
ADI2TJDFT.txt	PÚBLICA.
ADI2TJDFT.txt	COMPETÊNCIA
ADI2TJDFT.txt	PRIVATIVA
ADI2TJDFT.txt	DO
ADI2TJDFT.txt	GOVERNADOR
ADI2TJDFT.txt	DO
ADI2TJDFT.txt	DISTRITO
ADI2TJDFT.txt	FEDERAL.
ADI2TJDFT.txt	AÇÃO
ADI2TJDFT.txt	JULGADA
